SNBS 2.1 Hochbau - Nachweisliste;;;;Hinweis: Texte in braun gelten für Bildungsbauten;;;;Zuständigkeit;;;;;;;;;;;;;KP1;;;KP2;;Hilfstools;Nachweisdokumente und Verfahren;;;;;;
Thema;Kriterium;;Indikator;Messgrössen;Minergie;Minergie-ECO;Nutzungsprofil;Bauherrschaft;Nutzende;Architekt;Innenarchitekt;Elektroplaner;HLK-Planer;Bauphysiker;Verkehrsplaner;Landschaftsarchitekt;Umweltberater;FM-Experte;Bauökonom;Vermarktungs-Experte;1 Strategische Planung;2 Vorstudien;3 Projektierung;4 Ausschreibung;5 Realisierung;;Vorprüfung (Vorstudien);;Nachweis KP1 (Vorprojekt);;Nachweis KP2 (Bauabschluss);Kommentare;Benotung
KONTEXT UND ARCHITEKTUR;101 Leitfragen;101.1;Ziele und Pflichtenhefte;1. Abstimmung der Projektentwicklung auf übergeordnete Ziele;;;;x;x;x;;;;;;;;;;;;;;;;SNBS-Vorlage 101.1 - Ziele und Pflichtenhefte;-;;"• Beschrieb Ziele und Pflichtenhefte 
• Kopien aus übergeordneten Planungen, Leitbildern oder Aufträgen
Zusätzlich bei Bildungsbauten
• Strategische Schulraumplanung   
• Pädagogisches Leitbild (Schulleitung, -gemeinde bzw. Trägerschaft)
• Nutzungskonzept";;-;;
;;;;2. Verankerung in Pflichtenheften oder Vereinbarungen;;;;x;x;x;;;;;;;;;;;;;;;;;-;;"• Beschrieb Ziele und Pflichtenhefte, alternativ:
• Zielvereinbarung nach Norm SIA 112/1
• Kopien der Pflichtenhefte ";;• Aktualisierte Dokumente;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLANUNG UND ZIELGRUPPEN;"102 Planungs-
verfahren";102.1;Städtebau und Architektur;"1. Städtebau, Siedlung und Aussenraum
2. Architektonisches Konzept
3. Funktionalität
4. Material, Konstruktion und Farbe
5. Baukultureller Wert, Gesamtwirkung";;;;;;x;;;;;;;;;;;;;;;;;"Wettbewerbsdokumente resp. Pläne, Konzepte:
• Wettbewerbsprogramm
• Jurybericht / Expertenbericht
• Wettbewerbsdokumentation des ausgewählten Projekts
• Übersichtsplan Gemeinde / Quartier, Massstab 1:1000 bis 1:5000
• Situation / Umgebungsplan, Massstab 1:200 bis 1:500
• Architekturpläne, Massstab 1:100 bis 1:200
• Fassadenschnitt, Massstab 1:50
• Konzeptbeschriebe Städtebau, Architektur, Materialisierung, Gebäudetechnik";;"Wettbewerbsdokumente resp. Pläne, Konzepte:
• Wettbewerbsprogramm
• Jurybericht / Expertenbericht
• Wettbewerbsdokumentation des ausgewählten Projekts
• Übersichtsplan Gemeinde / Quartier, Massstab 1:1000 bis 1:5000
• Situation / Umgebungsplan, Massstab 1:200 bis 1:500
• Architekturpläne, Massstab 1:100 bis 1:200
• Fassadenschnitt, Massstab 1:50
• Konzeptbeschriebe Städtebau, Architektur, Materialisierung, Gebäudetechnik";;• Pläne, Konzepte, dokumentierte Projektänderungen;;
;;;;6. Fairness und Auftragsbedingungen;;;;;;;;;;;;;;;;;;;;;;;;;"• Wettbewerbsprogramm
• Jurybericht
• Liste der Projektbeteiligten
• Organigramm der Projektbeteiligten
• Bestätigung SIA-Konformität
• Bewertung BWA /OMPr / CAT
• Weitere nach Bedarf und Verfahrensart";;-;;
;;102.2;Partizipation;1. Zugang zu Information;;;W/V;x;;x;;;;;;;;;;;;;;;;;• Zielvereinbarung strategische Planung (Zielgruppen der Partizipation);;• Auflistung der Informationsmassnahmen (inkl. Belegdokumente) pro Anspruchsgruppe;;"• Aktualisierte Liste
";;
;;;;2. Lösung von Interessenkonflikten in Bezug auf das Projekt;;;;;;;;;;;;;;;;;;;;;;;• Zielvereinbarung strategische Planung (Zielgruppen der Partizipation);;• Auflistung der Lösungen (inkl. Belegdokumente, z.B. Auszüge aus Protokollen oder Massnahmen);;• Aktualisierte Liste;;
;;;;3. Wirkung von Information und Lösungen;;;;;;;;;;;;;;;;;;;;;;;• Zielvereinbarung strategische Planung (Zielgruppen der Partizipation);;-;;"
• Dokumentation Einsprachen, Gerichtsurteile oder Eingungen";;
;;;;1. Zugang zu Information;;;B;x;;x;;;;;;;;;;;;;;;;;• Zielvereinbarung strategische Planung (Zielgruppen der Partizipation);;"• Kommunikationskonzept
• Auflistung der Informationsmassnahmen (inkl. Belegdokumente) pro Anspruchsgruppe";;"• Umsetzung der Kommunikationsmassnahmen gemäss Konzept
• Aktualisierte Liste
";;
;;;;2. Einbezug der Anspruchsgruppen in den Planungsprozess;;;;;;;;;;;;;;;;;;;;;;;• Zielvereinbarung strategische Planung (Zielgruppen der Partizipation);;"• Liste der identifizierten Anspruchsgruppen un der Kommunikationsgefässe
• Nachweise für Berücksichtiung der Anliegen (z.B. Auszüge aus Protokollen, Auflistung von Massnahmen, Vereinbarungen)";;-;;
;;;;3. Evaluation des Partizipationsprozesses;;;;;;;;;;;;;;;;;;;;;;;• Zielvereinbarung strategische Planung (Zielgruppen der Partizipation);;"• Kommunikationskonzept
• Auflistung der Informationsmassnahmen (inkl. Belegdokumente) pro Anspruchsgruppe";;"• Umsetzung der Kommunikationsmassnahmen gemäss Konzept
• Aktualisierte Liste";;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NUTZUNG 
UND RAUM-
GESTALTUNG";103 Diversität;103.1;Nutzungsdichte;Durchschnittliche Energiebezugsfläche pro Person;;;W;;;x;;;;;;;;;x;;;;;;;SNBS-Tool 103.1 Nutzungsdichte;"• Einordnung in ein Preissegment (206.1)
Zielwert in Pflichtenheften verankern";;"• Pläne AE Wohnungsspiegel, Personenbelegung
• Berechnung AE/Person im SNBS-Tool Nutzungsdichte";;"• Aktualisierte Pläne
• Berechnung mit effektiver Belegung, soweit bekannt
• Allenfalls Nachweis für Mindestbelegung";;
;;;;Flächeneffizienz NF / GF;;;V;;;x;;;;;;;;;x;;;;;;;;-;;"• Pläne GF und NF
• Berechnung NF/GF im SNBS-Tool Nutzungsdichte";;• Aktualisierte Pläne und Berechnungen;;
;;;;Flächeneffizienz NF / GF;;;B;;;x;;;;;;;;;x;;;;;;;;-;;"Fall 1
• Pläne GF und NF
• Berechnung NF/ GF
Fall 2
• Studie
• Berechnung / Pläne";;"Fall 1
• Aktualisierte Pläne und Berechnungen

Fall 2
• Aktualisierte Pläne und Berechnungen
";;
;;103.2;Nutzungsangebot im Quartier;"1. Gehdistanz zum nächstgelegenen Freizeitangebot
2. Gehdistanz zur nächstgelegenen Verpflegungsmöglichkeit
3. Gehdistanz zum nächstgelegenen Erholungsangebot,
Freiraum
4. Gehdistanz zum nächstgelegenen Dienstleistungsangebot
5. Gehdistanz zur nächstgelegenen sozialen Infrastruktur";;;;;;x;;;;;;;;;;;;;;;;;• Zielvereinbarung strategische Planung (geplante Angebote);;• Übersichtskarte mit gekennzeichneten Angeboten im Umfeld sowie den geplanten Angeboten in der Liegenschaft;;• Aktualisierte Karte inkl. den realisierten Angeboten in der Liegenschaft;;
;;103.3;Hindernisfreies Bauen;1. Grundanforderungen;;;;;;x;;;;;;;;;;;;;;;;SNBS-Checkliste 103.3‒Hindernis-freies Bauen;• Zielvereinbarung Vorstudien (angestrebte Stufe der Hindernisfreiheit);;• Selbstdeklaration oder Bestätigung ProCap oder vergleichbares Dokument;;"• Aktualisierte Pläne; Fotografien von umgesetzten Massnahmen";;
;;;;2. Erhöhte Anforderungen;;;W/V;;;;;;;;;;;;;;;;;;;;;;"• Pläne mit eingezeichneten Massnahmen
• Auflistung der Massnahmen in der SNBS-Checkliste «Hindernisfreies Bauen»";;"• Aktualisierte Pläne; Fotografien von umgesetzten Massnahmen
• Update der Massnahmen in der SNBS-Checkliste «Hindernisfreies Bauen»";;
