Jahr,Total,Verbrennung,Recycling,Kompostierung,Deponierung,UebrigeB
1995,316819.633,6728.45,12303.28,5368,281538,10881.903
1996,386013.00675,6803.76,11907.23175,6214.73,353292.3,7794.985
1997,396646.816,7018.21,12631.828,5881.52,363636,7479.258
1998,358659.76475,7272.04,13352.96275,5693.67,322338.6,10002.492
1999,395902.0775,7653.83,18565.9025,6033.35,354481.2,9167.795
2000,482430.673,7788.42,21896.951,6742.5,434755.8,11247.002
2001,474049.92425,8003,21436.43025,5854.31,426587.4,12168.784
2002,480453.43215,7904.85,20998.86875,7155.8214,428951.682,15442.21
2003,470864.02415,8010.54,21729.45875,7037.4604,420136.65,13949.915
2004,457518.98955,8124.88,21095.7055,6972.78205,408928.392,12397.23
2005,520407.15845,8037.71,23807.31725,8197.5442,467055,13309.587
2006,400324.66045,8267.06,23616.358,7009.04845,344263.086,17169.108
2007,524509.7793,8338.18,24005.391,7544.8663,431408.79,53212.552
2008,607329.15677,8460.48,21076.3945,8393.18927,555036.318,14362.775
2009,459394.68975,8560.2,20030.8785,6838.44125,409064.472,14900.698
2010,466309.95598,8661.61,17449.2055,6671.32748,398675.934,34851.879
2011,656001.27595,8728.48,19617.827,7533.71895,595498.23,24623.02
2012,585203.5998,8776.11,18050.8115,8289.1783,529165.35,20922.15
2013,442978.5613,8668.06,16603.6246,7991.8597,388674.252,21040.765
2014,562748.4079,8584.08,15249.188,7511.9489,513523.008,17880.183
2015,594313.2971,8504.05,17142.627,6722.8041,548289.576,13654.24
2016,461203.836,8267.74,17338.984,7042.769,414145.62,14408.723
2017,490414.2548,8317.64,17471.3046,7767.7732,442261.902,14595.635
2018,434112.8004,8263.7,15840.437,6477.2324,387144.966,16386.465
