Jahr,Liechtenstein,Vaduz,Triesen,Balzers,Triesenberg,Schaan,Planken,Eschen,Mauren,Gamprin,Ruggel,Schellenberg
1995,3734,313.5,407.6,590.7,318.5,396,6.6,458.7,617.1,178.2,310.2,137
1996,4686.3,339.9,350.8,746.5,495.3,1161.6,,376.9,584.1,215.5,327.4,88.4
1997,4315.7,527.3,334,476.9,288.1,630.3,6.6,576.5,551.8,282.2,487.4,154.8
1998,4166.6,660,252.5,623.7,234,446.5,6.6,831.6,398.6,273.9,360.4,78.9
1999,4460.3,773.9,526.7,348.2,264.3,374.2,5,814.4,423.1,266.3,514.8,149.5
2000,5209.7,782.1,449.1,502.9,314.2,401,9.9,799.6,645.5,298,702.6,304.9
2001,4247.4,792,427,556.1,207.2,310.2,,533.9,348.8,169,715.4,187.8
2002,5501,736.2,635.3,714.6,330.3,325.4,,805.7,816.4,250.5,680.4,206.2
2003,5508.3,902.2,515.8,772.5,256.7,448.8,,864.9,535.6,264.5,764.7,182.5
2004,5344.6,863.7,472.7,756.7,110.2,391.1,,980.1,567.3,310,682.1,210.8
2005,6614.4,1001.2,628,752.7,428.8,585.8,,1145.1,808.8,372.9,683.3,207.8
2006,5442.3,834.6,641.3,591,214.5,283.8,,789,956.5,279.2,639.7,212.6
2007,5980.6,1038.2,649.4,565.6,219.5,283.8,,1258.3,757,327.8,668.1,212.9
2008,6859.1,986.8,504.3,602.9,229.7,308.6,,2155,949.7,327.6,590.7,203.8
2009,5258.3,1013.6,372.3,414.8,242.6,344.2,,724.3,923,359.6,656.6,207.3
2010,5153.7,939.7,441.9,602.6,250.8,335,,720,690,442.8,492.1,238.9
2011,5974.9,946.3,363.3,650.1,158.4,264,,714.6,690.4,1602.8,373.8,211.3
2012,6426.3,842.5,529.7,828,198,263.3,,533,644.8,1814,560.4,212.6
2013,6454.8,1100.1,571.2,557,278.9,247.5,,,596.1,2409,487.1,207.9
2014,6040.8,1111.9,579.2,786.1,165,610.5,,,333.4,1846.4,471.4,137
2015,5337.2,1036.9,256.3,871.5,168.3,353.1,,,266.6,1860.2,477.8,46.4
2016,5550.4,748.8,126,984.1,214.5,580.8,,,190.6,1936.1,711.8,57.7
2017,5555.6,829,195.6,1094.3,198,436.8,,,161.6,1889.3,653.7,97.4
2018,4490.7,349.1,238.8,1030.9,247.5,30.8,13.3,,61.1,1811.4,613.1,94.7
