Jahr,Liechtenstein,Vaduz,Triesen,Balzers,Triesenberg,Schaan,Planken,Eschen,Mauren,Gamprin,Ruggel,Schellenberg
1995,51.96,9,6.01,5.49,0.89,5.4,0,12.78,8.14,0.85,2.51,0.89
1996,56.77,10.86,5.24,8.46,7.47,5.27,0.06,9.18,3.15,0.98,3.31,2.79
1997,74.8,5.14,4.92,33.87,3.28,9.02,0,4.93,5.66,2.49,3.52,1.97
1998,84.43,4.54,5.33,38.53,3.91,10.16,0,5.06,6.04,2.96,5.53,2.37
1999,99.34,14,10.6,15.2,8.11,14.83,0.74,10.04,9.63,5.35,6.61,4.23
2000,98.93,13.23,10.64,15.23,8.15,14.9,0.74,10.08,9.68,5.35,6.7,4.23
2001,161.69,21.64,17.39,24.91,13.34,24.36,1.19,16.48,15.82,8.75,10.87,6.94
2002,163.48,21.48,17.26,27.72,13.24,24.18,1.19,16.35,15.7,8.69,10.78,6.89
2003,160.9,21.53,17.34,24.78,13.27,24.24,1.19,16.39,15.74,8.71,10.81,6.9
2004,163.35,21.86,17.56,25.16,13.48,24.62,1.21,16.65,15.98,8.85,10.97,7.01
2005,149.99,20.08,16.13,23.1,12.37,22.6,1.11,15.29,14.67,8.12,10.08,6.44
2006,102.7,13.74,11.04,15.82,8.47,15.48,0.76,10.47,10.05,5.56,6.9,4.41
2007,116.51,14.4,13.12,18.16,9,17.47,0.82,13.17,10.51,5.76,8.93,5.17
2008,131.08,16.21,14.77,20.43,10.13,19.65,0.92,14.81,11.83,6.47,10.04,5.82
2009,133.28,16.47,15.01,20.78,10.3,19.98,0.93,15.07,12.03,6.58,10.22,5.91
2010,135.88,16.8,15.3,21.18,10.5,20.38,0.95,15.36,12.26,6.71,10.41,6.03
2011,132.91,16.43,14.97,20.72,10.27,19.93,0.93,15.03,11.99,6.57,10.18,5.89
2012,138.95,17.17,15.65,21.66,10.74,20.83,0.98,15.71,12.54,6.86,10.65,6.16
2013,140.68,17.39,15.84,21.93,10.87,21.09,0.99,15.91,12.69,6.95,10.78,6.24
2014,138.86,17.16,15.64,21.64,10.73,20.82,0.98,15.7,12.53,6.86,10.64,6.16
2015,139.65,17.26,15.73,21.77,10.79,20.94,0.98,15.79,12.6,6.9,10.7,6.19
2016,136.41,16.86,15.36,21.26,10.54,20.46,0.96,15.42,12.31,6.74,10.45,6.05
2017,147.56,18.24,16.62,23,11.4,22.13,1.04,16.68,13.31,7.29,11.31,6.54
2018,146.5,18.11,16.5,22.83,11.32,21.97,1.03,16.56,13.22,7.24,11.22,6.5
