Jahr,Liechtenstein,Vaduz,Triesen,Balzers,Triesenberg,Schaan,Planken,Eschen,Mauren,Gamprin,Ruggel,Schellenberg
1995,219.675797446864,309.263864219459,222.850356294537,198.460556548379,228.020325203252,203.037137857282,147.816455696203,206.738309613709,202.966587917651,168.608058608059,158.812903225806,162.350956130484
1996,220.022636872231,307.193706981318,229.371943371943,201.42387455741,219.134498171475,206.774383078731,137.453987730061,210.720536756126,199.612987864874,158.503100088574,156.533004318322,171.3196814562
1997,225.354333237003,310.037871237792,225.531594784353,206.382175226586,225.338467774625,209.955165692008,156.366366366366,223.214801965886,209.737694300518,180.281195079086,168.647990255786,172.365236523652
1998,232.185185185185,323.698492462312,226.612506154604,209.870517928287,237.719724584852,223.914835164835,156.854599406528,227.600341588386,212.53299002253,183.725151253241,169.130695443645,177.021739130435
1999,239.070123379666,329.51821386604,237.99424184261,215.233122875182,235.633971291866,233.933865450399,157.809798270893,229.851582189863,223.692999357739,189.778346121057,174.353219137626,189.696335078534
2000,240.190587799914,334.45171524886,239.25908667288,214.200334688023,246.90618762475,237.349420127198,154.772727272727,241.34935809888,209.048507462687,184.948186528497,169.502074688797,184.160732451679
2001,243.526154033411,350.138015019282,244.430495320703,217.266713914481,239.632237871674,237.273560689402,173.380281690141,241.828013716697,216.055352798053,187.031924072476,169.90252293578,183.538461538462
2002,235.78970917226,342.164073550212,233.967620314926,205.075598976506,237.835130970724,233.144348452124,161.064425770308,232.27802226249,207.853630315302,176.843413421707,168.323831242873,184.151329243354
2003,236.557304432566,333.763398173878,230.212812637122,203.392857142857,239.439969313387,233.798672169388,170.765027322404,245.638188368502,206.308304891923,183.425549227014,180.515235457064,186.875642343268
2004,236.918411383916,332.145854145854,228.06820634578,210.13094417643,241.373986877653,239.714488384465,169.008042895442,229.381417480591,201.376551724138,197.28670253651,198.429661941112,194.783526927138
2005,232.303757225434,318.104096576291,233.464394932285,207.451955686186,244.313572542902,234.926981919332,173.913043478261,226.706706706707,199.768849752339,190.799151343706,172.596153846154,187.610993657505
2006,236.844578140667,317.790766792154,240.699978462201,221.192515779982,252.549173878836,239.803820340733,181.120218579235,230.657507360157,198.489997259523,186.573816155989,180.114285714286,188.429158110883
2007,237.095655141037,316.205128205128,245.059905862217,217.961797752809,255.370226032736,244.089089959979,181.937984496124,227.775899541174,202.175901022055,182.241968557758,180.510416666667,177.422480620155
2008,239.29403778708,319.50039184953,243.04753820034,216.055025515864,260.682620635543,251.546301177297,169.336609336609,231.431334622824,198.520273828331,198.538873994638,181.455204557224,182.711370262391
2009,240.529377054708,330.639796517316,247.774742592982,212.452913804565,256.863672182821,253.490795415075,176.627078384798,222.506024096386,200.161626694473,235.433070866142,158.760970573051,181.305182341651
2010,241.3108040341,328.186010760953,243.522679983354,214.546663710929,263.456790123457,257.569108500346,185.071090047393,221.980480837896,204.170957775489,203.158559696778,178.382502543235,183.939096267191
2011,241.458408254723,325.223737276743,239.709904682967,221.585689045936,271.670569867291,254.926304837871,204.423529411765,217.186239620403,205.486371592898,207.347447073474,183.708145927037,181.658440276407
2012,240.606168608636,322.230710466005,246.197765825403,224.748121961997,267.108387590961,248.655390398086,202.695035460993,214.643445516592,210.418743768694,195.1492992078,181.390374331551,187.279767666989
2013,235.302133666323,320.680818512144,237.862812945247,218.673716677682,265.527714502657,241.355132310804,186.139534883721,206.237161531279,210.647655872402,190.41564792176,174.430992736078,184.898746383799
2014,231.196100083493,314.195830230826,226.309881739828,216.704397039617,261.75572519084,235.547679324894,171.238095238095,195.101280558789,224.76213475006,180.885385081868,172.705544933078,184.108527131783
2015,227.58791414655,303.484596937834,224.463073852295,212.312050555677,274.119907763259,237.417407345296,175.188679245283,189.904894456043,220.095488183337,164.236572118286,169.287377736376,171.396011396011
2016,219.758120248791,291.554737810488,213.217184715898,206.553819444444,259.010736196319,232.962962962963,156.233183856502,169.195193833598,228.937947494033,159.089813140446,169.74025974026,166.691729323308
2017,219.985189103412,290.147956352876,209.862637362637,212.124621376028,257.412347560976,229.783044058745,165.733333333333,170.678815489749,238.219306466729,169.245624622812,158.129496402878,161.018518518519
2018,216.815343443354,283.861744480637,211.260667183863,205.703703703704,242.36963190184,226.212949163769,154.035087719298,172.136830102623,228.22744014733,169.493365500603,166.816578483245,173.062730627306
