Jahr,Liechtenstein,Vaduz,Triesen,Balzers,Triesenberg,Schaan,Planken,Eschen,Mauren,Gamprin,Ruggel,Schellenberg
1995,,,,,,,,,,,,
1996,11907.23,619.06,394.73,390.65,300.25,636.05,30.76,233.55,316.30,73.00,132.15,61.74
1997,12631.83,618.63,426.23,424.03,305.06,559.50,34.51,270.33,346.57,66.64,133.96,72.38
1998,13352.96,734.22,459.61,464.59,300.52,550.30,34.31,260.46,329.75,73.24,142.42,73.55
1999,18565.90,819.19,490.72,390.79,313.86,595.19,36.27,261.55,343.16,80.28,154.84,78.06
2000,21896.95,819.38,531.78,620.90,355.42,667.89,35.26,296.51,395.78,91.06,167.37,85.62
2001,21436.43,352.95,522.07,533.01,349.42,728.96,36.54,313.37,395.21,100.44,166.87,93.60
2002,20998.87,330.70,535.35,531.03,292.80,724.31,39.35,239.33,390.99,94.08,167.26,85.62
2003,21729.49,907.31,530.08,552.61,309.52,765.15,30.60,263.99,397.99,103.69,185.12,97.52
2004,21095.71,834.41,509.39,570.83,292.98,750.14,33.12,302.07,427.37,110.47,171.36,110.98
2005,23807.32,923.59,527.97,569.08,306.59,736.11,35.51,204.73,492.69,123.02,161.87,99.76
2006,23616.36,955.00,574.62,640.25,331.14,681.15,36.59,244.05,442.39,113.71,203.72,109.86
2007,24005.39,465.74,492.51,658.73,311.23,663.52,33.95,293.95,446.50,130.58,203.45,105.98
2008,21076.39,990.89,517.62,632.21,309.17,652.99,31.36,341.86,429.84,128.57,184.45,85.82
2009,20030.88,1019.07,528.66,555.17,303.10,642.64,38.60,349.33,423.51,133.83,192.48,109.87
2010,17449.21,1365.27,573.02,552.98,325.86,614.58,37.71,389.10,451.42,139.65,196.37,107.12
2011,19617.83,865.07,572.07,477.48,332.99,697.30,0.04,421.06,533.96,144.09,208.84,116.55
2012,18050.81,884.89,550.56,579.26,316.24,707.83,,447.22,470.22,132.97,199.43,114.07
2013,16603.62,854.05,557.21,668.26,324.65,661.86,,,428.78,,196.68,111.49
2014,15249.19,718.24,287.64,644.40,331.52,700.30,,,322.62,,178.17,103.18
2015,17142.63,944.25,,689.24,306.02,644.71,,,275.55,,164.95,93.74
2016,17338.98,789.91,,730.40,348.26,642.22,,,239.87,,158.40,94.87
2017,17471.30,958.43,,715.65,321.13,530.46,,,207.43,,146.41,89.45
2018,15840.44,1091.73,,812.65,396.60,490.18,,,196.58,,139.86,86.14
